mode,accuracy,precision,recall,f1,support
bike,0.8328173374613003,1.0,0.8328173374613003,0.9087837837837837,323.0
bus,0.7407407407407407,1.0,0.7407407407407407,0.8510638297872339,378.0
car,0.6948529411764706,1.0,0.6948529411764706,0.8199566160520607,272.0
train,0.6708860759493671,1.0,0.6708860759493671,0.803030303030303,158.0
walk,0.9298892988929889,1.0,0.9298892988929889,0.9636711281070747,813.0
